No.,BookId,Name,UnitPrice,Author,Description,Category,ReleaseDate,출판사
1,ISBN1234,쉽게 배우는 JSP 웹 프로그래밍 ,27000,송미영,단계별로 쇼핑몰을 구현하며 배우는 JSP 웹 프로그래밍,IT전문서 ,2018-10-08,한빛아카데미
2,ISBN1235,안드로이드 프로그래밍,33000,우재남,실습 단계별 명쾌한 멘토링!,IT전문서,2022-01-22,한빛아카데미
3,ISBN220913101957,난생처음 인공지능 with 스크래치,22000,고광일,컴퓨팅 사고력을 키우는 블록 코딩,컴퓨터입문,2019-06-10,한빛아카데미
4,ISBN23580,자바 객체지향 프로그래밍 입문,36000,음두헌,기초 프로그래밍을 학습한 독자를 대상으로 제대로 된 객체지향 프로그래밍의 개념과 …,IT전문서,2022-05-31,에이콘출판
5,ISBN380402,스프링 입문을 위한 자바 객체 지향의 원리와 이해,22500,김종민,스프링에 입문하는 초급자는 스프링을 학습하거나 적용하는 데 …,IT전문서,2015-04-08,위키북스
6,ISBN4904094,JAVA 객체지향 디자인 패턴,25200,정인상 채홍석,객체지향 이론과 UML을 통해 GoF 디자인 패턴의 핵심 10가지를 배운다.,대학 교재,2014-04-02,한빛미디어
7,IBSN5809800,쉽게 배우는 소프트웨어 공학,29700,김치수,중요하지만 다소 뜬구름 잡는 얘기 같았던 소프트웨어 공학 이론을 핵심만 추려 명쾌하게 정리해줍니다. ,대학 교재,2021-06-30,한빛아카데미
8,ISBN69678228,객체지향 소프트웨어 공학,29000,최은만,소프트웨어 개발 과정에 사용되는 모든 공학 기술을 객체지향 관점으로 설명한다.,대학 교재,2017-04-10,한빛아카데미
9,ISBN8540582,UML 패턴 자바를 이용한 객체지향 소프트웨어공학,35000,Bernd Bruegge Allen H. Dutoit,이 책은 소프트웨어공학을 다룬 이론서입니다. 소프트웨어공학의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.,IT전문서,2014-08-30,휴먼싸이언스
10,ISBN77585902,작심 3일 파이썬 Python,16200,황덕창,파이썬을 배우는 가장 좋은 방법은 수준에 맞는 과외를 받는 것….,IT전문서,2019-04-25,스포트라잇북
11,ISBN9983023,파이썬 딥러닝 파이토치(Python Deep Learning PyTorch),22500,이경택 방성수 안상준,이 책은 딥러닝 기술에 초점을 두고 딥러닝을 구현하기 위해 파이썬을 이용하는데 …,IT전문서,2020-10-08,정보문화사
